x y z
-1.558 0.400 9.945
-1.622 0.406 10.035
-1.564 0.416 10.100
-1.600 0.504 10.060
-1.527 0.543 9.960
-1.499 0.521 9.979
-1.470 0.473 10.025
-1.501 0.465 9.996
-1.482 0.494 9.913
-1.493 0.476 9.858
-1.464 0.480 9.907
-1.607 0.505 9.920
-1.630 0.446 9.953
-1.571 0.428 9.998
-1.467 0.523 9.957
-1.462 0.507 9.927
-1.440 0.460 9.793
-1.552 0.445 9.738
-1.473 0.458 9.776
-1.501 0.485 9.847
-1.469 0.458 9.838
-1.585 0.438 9.854
-1.600 0.402 9.899
-1.550 0.395 9.933
-1.367 0.464 9.884
-1.432 0.486 9.944
-1.439 0.398 9.872
-1.524 0.402 9.948
-1.537 0.373 9.927
-1.635 0.453 10.025
-1.631 0.486 10.038
-1.573 0.471 10.098
-1.500 0.427 10.084
-1.532 0.444 10.027
-1.421 0.481 10.026
-1.471 0.423 9.935
-1.512 0.495 9.927
-1.591 0.497 9.906
-1.535 0.441 9.953
-1.567 0.444 10.000
-1.464 0.527 10.060
-1.544 0.442 9.988
-1.548 0.457 9.988
-1.564 0.474 10.015
-1.519 0.501 9.909
-1.559 0.427 9.938
-1.515 0.480 10.004
-1.468 0.434 10.035
-1.476 0.446 10.000
-1.428 0.449 10.065
-1.439 0.438 10.040
-1.475 0.433 10.106
-1.482 0.462 10.108
-1.533 0.446 10.126
-1.590 0.495 10.199
-1.536 0.470 10.228
-1.547 0.441 10.207
-1.553 0.416 10.193
-1.579 0.436 10.238
-1.570 0.425 10.211
-1.547 0.462 10.177
-1.522 0.310 10.177
-1.495 0.436 10.108
-1.475 0.446 10.165
-1.472 0.471 10.129
-1.454 0.422 10.113
-1.446 0.463 10.073
-1.487 0.589 10.117
-1.515 0.467 10.116
-1.574 0.421 10.146
-1.518 0.410 10.135
-1.478 0.390 10.109
-1.495 0.387 10.101
-1.513 0.372 10.063
-1.560 0.473 10.164
-1.497 0.440 10.156
-1.522 0.471 10.195
-1.464 0.412 10.086
-1.527 0.497 10.183
-1.591 0.451 10.181
-1.592 0.425 10.214
-1.522 0.441 10.211
-1.542 0.483 10.269
-1.449 0.415 10.195
-1.452 0.435 10.191
-1.484 0.449 10.250
-1.430 0.435 10.195
-1.382 0.430 10.122
-1.428 0.496 10.223
-1.536 0.461 10.209
-1.420 0.352 10.149
-1.530 0.412 10.305
-1.529 0.513 10.234
