x y z
-1.293 0.334 9.913
-1.275 0.391 10.171
-0.976 0.507 10.088
-0.681 0.674 10.576
-0.555 0.661 10.602
-0.372 0.715 10.618
-0.300 0.816 10.710
-0.383 0.931 10.613
-0.614 0.583 10.777
-0.639 0.283 10.687
-0.450 0.444 10.603
-0.252 0.267 10.366
-0.371 0.344 10.320
-0.641 0.628 10.021
-0.633 0.970 9.659
-0.784 1.194 9.401
-0.967 1.043 9.369
-1.207 0.784 9.304
-1.132 0.750 9.377
-1.164 1.009 9.363
-1.098 0.932 10.010
-1.006 0.591 9.493
-1.000 0.434 9.514
-0.821 0.182 9.789
-0.880 0.155 9.350
-0.509 -0.109 9.577
-0.665 -0.032 9.456
-0.891 -0.159 9.670
-0.926 -0.090 9.406
-0.606 0.105 9.437
-0.586 0.372 9.463
-0.379 0.270 9.074
-0.546 0.364 8.993
-0.582 0.378 9.083
-0.660 0.580 9.089
-0.304 0.301 9.018
-0.290 0.464 9.223
-0.129 0.341 9.217
-0.151 0.255 9.308
-0.174 0.054 9.435
-0.237 -0.093 9.523
-0.434 -0.190 9.738
-0.375 -0.164 9.815
-0.380 0.069 9.928
-0.274 0.095 10.007
-0.451 -0.297 9.960
-0.864 -0.447 9.753
-0.852 -0.418 9.824
-0.778 -0.206 9.731
-0.757 -0.076 9.608
-0.921 0.011 9.704
-0.924 0.198 9.408
-0.767 0.479 9.208
-0.907 0.737 9.498
-1.011 0.782 9.209
-1.097 0.645 9.219
-1.080 0.931 9.280
-1.172 1.018 9.558
-1.238 0.946 9.599
-1.070 0.975 9.480
-1.070 0.879 9.539
-1.128 0.709 9.544
-1.077 0.606 9.539
-0.824 0.602 9.744
-0.753 0.692 9.950
-0.938 0.436 9.868
-1.143 0.399 9.950
-1.086 0.430 10.148
-0.608 0.452 10.008
-0.520 0.404 10.029
-0.726 0.446 10.083
-0.647 0.380 9.992
-0.584 0.663 10.357
-0.617 0.559 10.363
-0.763 0.345 10.391
-0.561 0.198 10.268
