x y z
-0.354 0.388 10.102
-0.334 0.184 10.021
-0.437 0.321 10.229
-0.252 0.342 10.003
-0.158 0.566 10.020
-0.187 0.600 9.720
-0.254 0.540 9.877
-0.316 0.584 9.884
-0.316 0.642 9.802
-0.447 0.840 9.969
-0.438 0.830 9.878
-0.236 0.903 10.120
-0.063 0.751 9.885
-0.083 0.682 10.042
-0.364 0.634 10.110
-0.398 0.114 10.064
-0.442 0.286 10.115
-0.212 0.233 10.065
-0.262 0.462 10.060
-0.281 0.435 9.830
-0.223 0.355 9.846
-0.243 0.505 9.735
-0.205 0.505 9.789
-0.400 0.704 9.827
-0.448 0.532 9.915
-0.516 0.700 10.131
-0.260 0.828 10.066
-0.068 0.945 10.268
-0.132 0.810 10.201
-0.286 0.489 10.201
-0.541 0.425 10.141
-0.484 0.281 10.204
-0.478 0.378 10.326
-0.282 0.214 10.135
-0.258 0.371 10.069
-0.232 0.418 9.874
-0.230 0.470 10.044
-0.232 0.564 9.967
-0.155 0.500 9.776
-0.313 0.809 10.054
-0.427 0.729 10.010
-0.465 0.916 10.157
-0.264 0.879 10.033
-0.099 0.680 9.946
-0.148 0.703 10.175
-0.188 0.378 10.178
-0.458 0.473 10.338
-0.371 0.119 10.003
-0.438 0.409 10.186
-0.309 0.361 9.963
-0.170 0.429 9.893
-0.147 0.501 9.628
-0.148 0.444 9.737
-0.397 0.556 9.686
-0.437 0.492 9.842
-0.406 0.595 9.802
-0.366 0.864 9.780
-0.156 0.853 10.084
-0.193 0.907 10.040
-0.232 0.720 10.157
-0.301 0.644 10.126
-0.306 0.386 10.023
-0.494 0.357 10.318
-0.466 0.253 10.073
-0.305 0.374 10.260
-0.103 0.458 9.886
-0.126 0.469 9.964
-0.258 0.527 9.894
-0.326 0.479 9.832
-0.364 0.672 9.993
-0.304 0.598 9.756
-0.382 0.785 10.160
-0.231 0.729 10.094
-0.212 0.758 10.094
-0.197 0.847 10.102
-0.193 0.449 10.079
-0.424 0.395 10.289
-0.384 0.122 10.141
-0.382 0.328 10.265
-0.296 0.257 10.041
-0.229 0.254 10.040
-0.265 0.491 9.890
-0.089 0.426 9.820
-0.247 0.596 9.762
-0.339 0.352 9.741
-0.510 0.519 9.963
-0.434 0.653 9.927
-0.176 0.877 10.091
-0.105 1.007 9.921
-0.109 0.680 10.144
-0.406 0.674 9.971
-0.345 0.475 10.104
