A_X[LSB] A_Y[LSB] A_Z[LSB]
-705 176 16789
-691 596 16752
-222 462 16410
-175 768 16537
-300 846 16145
-257 789 16154
-597 1032 16121
-718 792 16332
-849 1397 16461
-312 1271 16450
-286 1566 16784
-304 1432 16767
-382 1212 17116
-428 995 16775
-574 648 16997
-844 546 16964
-785 319 16889
-468 579 17076
-169 824 16493
-251 871 16681
-528 807 16298
-587 932 16640
-596 1241 16633
-467 986 16385
-692 1292 16884
-480 1232 16814
-283 1424 17167
-255 1144 16846
-282 738 16789
-732 575 17056
-643 87 16967
-682 548 17092
-337 423 16746
-418 842 16824
-368 847 16418
-273 811 16395
-470 1028 16208
-533 624 16281
-797 993 16418
-479 1032 16591
-314 1447 16858
-193 1676 16772
-278 1207 17028
-653 1117 16694
-487 561 17073
-592 648 16888
-559 308 16751
-730 536 17100
-421 571 16721
-264 946 16750
-312 1003 16248
-425 903 16511
-528 976 16523
-528 1073 16386
-747 1404 16665
-732 1387 16513
-395 1509 16918
-105 1255 16524
-138 1140 16787
-608 1060 16900
-665 191 16824
-739 478 16909
-354 389 16826
-438 773 16817
-470 728 16433
-372 594 16460
-407 844 16274
-342 844 16364
-668 1177 16427
-749 889 16575
-863 1170 16936
-434 1384 16827
-114 1579 17165
-221 1354 17052
-478 818 17052
-904 710 16952
-809 470 17058
-799 632 17261
-472 358 16942
-431 621 16832
-388 699 16506
-384 785 16791
-388 942 16661
-259 835 16342
-524 1352 16807
-714 1218 16734
-777 1532 16979
-442 1469 16772
-165 1137 16626
-247 1176 17010
-314 632 17014
-766 791 17282
-620 199 16722
-732 683 17028
-517 603 16655
-285 717 16538
-246 838 16095
-247 743 16277
-664 929 16192
-731 822 16452
-679 994 16385
-611 1444 16349
-260 1426 16857
-323 1516 16783
-387 1203 16979
-504 1076 16928
-512 646 16755
-826 596 17248
-779 423 16838
-510 625 17151
-172 766 16526
-210 784 16657
-432 881 16540
-545 801 16436
-608 1124 16705
-508 1000 16308
-638 1313 16984
-386 1219 16874
-354 1267 16874
-329 1416 16887
-323 750 16849
-709 660 17199
-642 204 16953
-638 548 17160
-495 429 16786
-383 424 16783
-443 820 16533
-149 712 16415
-413 996 16318
-566 589 16283
-852 868 16655
-726 1092 16595
-294 1466 16868
-176 1684 16585
-183 1137 16957
-678 1127 16668
-576 794 16890
-733 817 17044
-611 456 16782
-599 339 17097
-541 630 16657
-309 848 16805
-294 970 16558
-189 556 16223
-510 1093 16688
-430 996 16358
-710 1428 16740
-703 1323 16401
-528 1296 16871
-317 1644 16759
-106 1231 16745
-530 964 16945
-704 320 16756
-753 472 17057
-632 629 16825
-363 514 16804
-484 711 16608
-344 440 16314
-365 797 16410
-290 770 16440
-404 937 16642
-633 952 16389
-731 1181 16850
-562 1418 16886
-254 1493 16997
-251 1433 16915
-295 1113 16846
-684 925 17345
-843 580 16959
-779 553 17231
-416 298 16786
-318 528 16976
-421 685 16840
-357 650 16402
-335 812 16727
-308 962 16461
-482 1317 16885
-672 1292 16648
-625 1101 16780
-628 1377 16889
-311 1267 16750
-190 1147 17250
-319 748 16937
-776 775 17198
-791 553 16951
-719 340 16822
-589 600 16765
-249 552 16498
-229 898 16332
-135 646 16246
-405 948 16527
-663 1025 16342
-734 960 16340
-631 1394 16572
-278 1418 16810
-369 1673 16946
-189 1234 16717
-502 1272 17041
-465 808 16885
-760 600 17222
-903 435 16831
-473 456 17026
-432 767 16916
-30 579 16514
-359 929 16654
-437 687 16393
-648 1160 16754
