W (13196) main: 2,9026, us,,,,,,,,,,,,,,,,,,,
W (14206) main: 2,8848, us,,,,,,,,,,,,,,,,,,,
W (15206) main: 2,8932, us,,,,,,,,,,,,,,,,,,,
W (16216) main: 2,8999, us,,,,,,,,,,,,,,,,,,,
W (17226) main: 2,8970, us,,,,,,,,,,,,,,,,,,,
W (18236) main: 2,8645, us,,,,,,,,,,,,,,,,,,,
W (19246) main: 2,8340, us,,,,,,,,,,,,,,,,,,,
W (4126) main: 2,4642, us,,,,,,,,,,,,,,,,,,,
W (5146) main: 2,3654, us,,,,,,,,,,,,,,,,,,,
W (6146) main: 2,3602, us,,,,,,,,,,,,,,,,,,,
W (7146) main: 2,3581, us,,,,,,,,,,,,,,,,,,,
W (8156) main: 2,3594, us,,,,,,,,,,,,,,,,,,,
W (9156) main: 2,4905, us,,,,,,,,,,,,,,,,,,,
W (10156) main: 2,3664, us,,,,,,,,,,,,,,,,,,,
W (11166) main: 2,3583, us,,,,,,,,,,,,,,,,,,,
W (12166) main: 2,3765, us,,,,,,,,,,,,,,,,,,,
W (13176) main: 2,3645, us,,,,,,,,,,,,,,,,,,,
W (14176) main: 2,3558, us,,,,,,,,,,,,,,,,,,,
W (15176) main: 2,3561, us,,,,,,,,,,,,,,,,,,,
W (16186) main: 2,3568, us,,,,,,,,,,,,,,,,,,,
W (17196) main: 2,9110, us,,,,,,,,,,,,,,,,,,,
W (18216) main: 2,3834, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 2,596, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 2,485, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 2,492, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 2,462, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 2,451, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 2,458, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 2,477, us,,,,,,,,,,,,,,,,,,,
W (11047) main: 2,5034, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 2,530, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 2,470, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 2,458, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 2,450, us,,,,,,,,,,,,,,,,,,,
W (16037) main: 2,455, us,,,,,,,,,,,,,,,,,,,
