W (8057) main: 2,18956, us,,,,,,,,,,
W (8067) main: 0,26574, us,,,,,,,,,,
W (9057) main: 1,10234, us,,,,,,,,,,
W (9057) main: 2,18502, us,,,,,,,,,,
W (9067) main: 0,24408, us,,,,,,,,,,
W (10057) main: 1,11078, us,,,,,,,,,,
W (10057) main: 2,21118, us,,,,,,,,,,
W (10067) main: 0,24146, us,,,,,,,,,,
W (11057) main: 1,10629, us,,,,,,,,,,
W (11057) main: 2,18929, us,,,,,,,,,,
W (11067) main: 0,23871, us,,,,,,,,,,
W (12057) main: 1,9967, us,,,,,,,,,,
W (12057) main: 2,18286, us,,,,,,,,,,
W (12067) main: 0,26952, us,,,,,,,,,,
W (13057) main: 1,11131, us,,,,,,,,,,
W (13057) main: 2,20212, us,,,,,,,,,,
W (13067) main: 0,23284, us,,,,,,,,,,
W (14057) main: 1,11045, us,,,,,,,,,,
W (14057) main: 2,20424, us,,,,,,,,,,
W (14067) main: 0,22894, us,,,,,,,,,,
W (15057) main: 1,15738, us,,,,,,,,,,
W (15057) main: 0,22101, us,,,,,,,,,,
W (15067) main: 2,25369, us,,,,,,,,,,
W (16057) main: 1,10998, us,,,,,,,,,,
W (16057) main: 2,22809, us,,,,,,,,,,
W (16067) main: 0,25097, us,,,,,,,,,,
W (17057) main: 1,11074, us,,,,,,,,,,
W (17057) main: 2,20341, us,,,,,,,,,,
W (17067) main: 0,23242, us,,,,,,,,,,
W (18057) main: 1,10999, us,,,,,,,,,,
W (18057) main: 2,21148, us,,,,,,,,,,
W (18067) main: 0,23323, us,,,,,,,,,,
W (19057) main: 1,11065, us,,,,,,,,,,
W (19057) main: 2,20178, us,,,,,,,,,,
W (19067) main: 0,23051, us,,,,,,,,,,
W (20057) main: 1,10993, us,,,,,,,,,,
W (20057) main: 2,20079, us,,,,,,,,,,
W (20067) main: 0,24382, us,,,,,,,,,,
W (21057) main: 1,11087, us,,,,,,,,,,
W (21057) main: 2,21002, us,,,,,,,,,,
W (21067) main: 0,26154, us,,,,,,,,,,
W (22057) main: 1,11136, us,,,,,,,,,,
W (22057) main: 2,19895, us,,,,,,,,,,
W (22057) main: 0,21298, us,,,,,,,,,,
W (23057) main: 1,11046, us,,,,,,,,,,
W (23057) main: 2,20754, us,,,,,,,,,,
W (23067) main: 0,23872, us,,,,,,,,,,
W (24057) main: 1,9832, us,,,,,,,,,,
W (24057) main: 2,21188, us,,,,,,,,,,
W (4151) main: 1,92601, us,,,,,,,,,,
W (4161) main: 2,85877, us,,,,,,,,,,
W (4171) main: 0,100196, us,,,,,,,,,,
W (5151) main: 2,76707, us,,,,,,,,,,
W (5161) main: 1,99320, us,,,,,,,,,,
W (5161) main: 0,97441, us,,,,,,,,,,
W (6151) main: 2,78239, us,,,,,,,,,,
W (6161) main: 1,97925, us,,,,,,,,,,
W (6161) main: 0,97165, us,,,,,,,,,,
W (7161) main: 0,98146, us,,,,,,,,,,
W (7171) main: 1,112608, us,,,,,,,,,,
W (7171) main: 2,94917, us,,,,,,,,,,
W (8161) main: 1,99537, us,,,,,,,,,,
W (8161) main: 0,95058, us,,,,,,,,,,
W (8161) main: 2,88999, us,,,,,,,,,,
W (9161) main: 0,89823, us,,,,,,,,,,
W (9161) main: 2,83444, us,,,,,,,,,,
W (9161) main: 1,106036, us,,,,,,,,,,
W (10151) main: 2,79173, us,,,,,,,,,,
W (10161) main: 0,94190, us,,,,,,,,,,
W (10161) main: 1,106269, us,,,,,,,,,,
W (11151) main: 2,75040, us,,,,,,,,,,
W (11151) main: 1,97568, us,,,,,,,,,,
W (11161) main: 0,95694, us,,,,,,,,,,
W (12151) main: 2,76525, us,,,,,,,,,,
W (12161) main: 1,101333, us,,,,,,,,,,
