W (20036) main: 1,167, us,,,,,,,,,,,,,,,,,,,
W (20036) main: 0,551, us,,,,,,,,,,,,,,,,,,,
W (21036) main: 2,733, us,,,,,,,,,,,,,,,,,,,
W (21036) main: 0,1007, us,,,,,,,,,,,,,,,,,,,
W (21036) main: 1,167, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 2,972, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 0,1019, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 1,132, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 2,305, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 1,112, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 0,654, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 2,128, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 1,108, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 0,492, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 2,262, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 1,123, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 0,641, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 2,129, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 1,105, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 0,455, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 2,129, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 1,111, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 0,455, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 2,128, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 1,112, us,,,,,,,,,,,,,,,,,,,
W (10037) main: 0,491, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 2,128, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 1,104, us,,,,,,,,,,,,,,,,,,,
W (11037) main: 0,446, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 2,129, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 1,108, us,,,,,,,,,,,,,,,,,,,
W (12037) main: 0,449, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 2,129, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 1,108, us,,,,,,,,,,,,,,,,,,,
W (13037) main: 0,449, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 2,129, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 1,107, us,,,,,,,,,,,,,,,,,,,
W (14037) main: 0,449, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 2,129, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 1,107, us,,,,,,,,,,,,,,,,,,,
W (15037) main: 0,450, us,,,,,,,,,,,,,,,,,,,
W (16037) main: 2,129, us,,,,,,,,,,,,,,,,,,,
W (16037) main: 1,108, us,,,,,,,,,,,,,,,,,,,
W (16037) main: 0,449, us,,,,,,,,,,,,,,,,,,,
W (17037) main: 2,634, us,,,,,,,,,,,,,,,,,,,
W (17037) main: 0,961, us,,,,,,,,,,,,,,,,,,,
W (17037) main: 1,114, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 2,1054, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 0,1111, us,,,,,,,,,,,,,,,,,,,
W (4037) main: 1,130, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 2,140, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 1,117, us,,,,,,,,,,,,,,,,,,,
W (5037) main: 0,546, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 2,247, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 1,128, us,,,,,,,,,,,,,,,,,,,
W (6037) main: 0,735, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 2,137, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 1,122, us,,,,,,,,,,,,,,,,,,,
W (7037) main: 0,519, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 2,131, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 1,113, us,,,,,,,,,,,,,,,,,,,
W (8037) main: 0,477, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 2,131, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 1,112, us,,,,,,,,,,,,,,,,,,,
W (9037) main: 0,483, us,,,,,,,,,,,,,,,,,,,
