W (10101) main: 2,34132, us,,,,,,,,,,
W (11101) main: 2,34010, us,,,,,,,,,,
W (12101) main: 2,34170, us,,,,,,,,,,
W (13101) main: 2,36793, us,,,,,,,,,,
W (14101) main: 2,34047, us,,,,,,,,,,
W (15101) main: 2,34033, us,,,,,,,,,,
W (16101) main: 2,33842, us,,,,,,,,,,
W (17101) main: 2,34520, us,,,,,,,,,,
W (18101) main: 2,34044, us,,,,,,,,,,
W (19101) main: 2,33935, us,,,,,,,,,,
W (20101) main: 2,34576, us,,,,,,,,,,
W (21101) main: 2,34103, us,,,,,,,,,,
W (22101) main: 2,34093, us,,,,,,,,,,
W (4216) main: 2,128514, us,,,,,,,,,,
W (5346) main: 2,128019, us,,,,,,,,,,
W (6466) main: 2,129025, us,,,,,,,,,,
W (7596) main: 2,131167, us,,,,,,,,,,
W (8726) main: 2,131802, us,,,,,,,,,,
W (9856) main: 2,129311, us,,,,,,,,,,
W (10976) main: 2,127332, us,,,,,,,,,,
W (12106) main: 2,128721, us,,,,,,,,,,
W (13236) main: 2,129159, us,,,,,,,,,,
W (14356) main: 2,128847, us,,,,,,,,,,
W (15486) main: 2,131698, us,,,,,,,,,,
W (16616) main: 2,127488, us,,,,,,,,,,
W (17746) main: 2,128624, us,,,,,,,,,,
W (18876) main: 2,127591, us,,,,,,,,,,
W (19996) main: 2,128016, us,,,,,,,,,,
W (21126) main: 2,126531, us,,,,,,,,,,
W (22256) main: 2,131120, us,,,,,,,,,,
W (23386) main: 2,130796, us,,,,,,,,,,
W (4236) main: 2,135715, us,,,,,,,,,,
W (5246) main: 2,137105, us,,,,,,,,,,
W (6246) main: 2,137624, us,,,,,,,,,,
W (7246) main: 2,136721, us,,,,,,,,,,
W (8246) main: 2,139334, us,,,,,,,,,,
W (9246) main: 2,142328, us,,,,,,,,,,
W (10256) main: 2,143461, us,,,,,,,,,,
W (11246) main: 2,139670, us,,,,,,,,,,
W (12246) main: 2,141128, us,,,,,,,,,,
W (13246) main: 2,141421, us,,,,,,,,,,
W (14246) main: 2,141970, us,,,,,,,,,,
W (15246) main: 2,142749, us,,,,,,,,,,
W (16246) main: 2,136107, us,,,,,,,,,,
W (17246) main: 2,136079, us,,,,,,,,,,
W (18246) main: 2,138871, us,,,,,,,,,,
W (19246) main: 2,139077, us,,,,,,,,,,
W (20246) main: 2,140286, us,,,,,,,,,,
W (4226) main: 2,134425, us,,,,,,,,,,
W (5236) main: 2,140179, us,,,,,,,,,,
W (6226) main: 2,136450, us,,,,,,,,,,
W (7226) main: 2,135086, us,,,,,,,,,,
W (8226) main: 2,135627, us,,,,,,,,,,
